anomes_abt,id_cliente,nome,idade,tempo_de_conta_em_anos,segmento,att_vinculo_empregaticio,vinculo_empregaticio,salario_estimado,saldo_em_conta,reng_ult_3_meses,contato_ult_3meses,qtd_contratos_em_atraso,saldo_em_atraso,combo_produtos_em_atraso,maior_atraso,renegociou_no_mes_seguinte
202303,537139309,Yago Garcia,44,26,IA,0,Empregado,9625.14802774796,2665.266181889193,0,0,3,29435.49556633471,"VEICULO, IMOBILIARIO",67,1
202303,131542946,Paulo Ramos,60,42,IA,0,Desempregado,0.0,49.88153798656114,0,1,1,28760.080955013407,"CARTAO, IMOBILIARIO",48,0
202304,364174171,Paulo Araújo,45,27,IU,0,Empregado,18806.6551343774,7124.703714507467,1,0,5,15660.488151519989,"IMOBILIARIO, VEICULO",40,1
202302,917508336,Ana Carolina Ferreira,64,46,IA,0,Autônomo,21911.46680441779,26575.020467869832,0,0,2,19686.23057507444,CARTAO,66,0
202302,577175772,Anna Liz Ferreira,65,47,IA,1,Desempregado,,932.3637412986312,1,0,2,22483.29994916979,"IMOBILIARIO, VEICULO",50,0
202303,356209196,Arthur Miguel Gonçalves,69,51,IU,0,Autônomo,10515.06788124609,1006.9950732862454,0,0,4,15750.722936093563,"IMOBILIARIO, VEICULO",85,0
202305,837058389,Catarina da Conceição,20,2,IA,0,Desempregado,0.0,966.7163285841204,0,1,1,43291.304418410415,"CARTAO, IMOBILIARIO",57,0
202305,507903732,Diogo Rezende,47,29,IA,1,Desempregado,,393.6866406387269,0,0,3,38764.05268194556,"IMOBILIARIO, CARTAO, VEICULO",62,0
202306,133473062,Rhavi Araújo,37,19,IP,0,Desempregado,0.0,933.0964450555664,0,1,4,34490.57057515066,"VEICULO, IMOBILIARIO, CARTAO",7,0
202305,890503688,Davi Miguel Leão,39,21,IP,0,Empregado,25823.70955686088,8442.032848000481,0,0,1,15199.356461457595,VEICULO,62,0
202306,990622081,Emilly Pires,19,1,IA,0,Empregado,9332.97633897989,1770.1741018648866,0,0,1,23340.111676713062,"CARTAO, VEICULO",101,0
202304,372524696,Bruna Pereira,28,10,IU,0,Empregado,10725.367432418603,3879.130215924058,0,0,5,17925.321760148287,CARTAO,14,0
202306,201332643,Sr. Gustavo Vieira,61,43,IA,0,Empregado,4595.612966035518,1634.0043713145303,0,0,2,29322.6050613044,IMOBILIARIO,51,1
202303,331981835,Dra. Cecilia Melo,45,27,IP,0,Empregado,,,1,0,4,6529.00177052791,"IMOBILIARIO, CARTAO, VEICULO",8,1
202306,762441268,Calebe Viana,24,6,IU,0,Empregado,16273.986686506323,1756.07845410738,0,1,4,49097.09761779383,"CARTAO, IMOBILIARIO, VEICULO",69,0
202304,960413104,Raul Carvalho,18,0,IA,0,Empregado,7870.011653391102,1938.4075952039973,0,0,2,14952.533477334218,"IMOBILIARIO, VEICULO, CARTAO",69,0
202302,429606552,Diego Marques,42,24,IU,0,Desempregado,0.0,187.96938079693527,1,0,1,27608.58339620916,IMOBILIARIO,21,0
202306,572961737,Camila Teixeira,22,4,IU,0,Empregado,10623.50091752086,1242.543615901987,1,0,1,30281.080068637017,"CARTAO, VEICULO",58,0
202301,947649257,Sr. Ryan Teixeira,26,8,IA,0,Empregado,9668.970650786378,1726.2303046286838,0,1,1,34108.72302969478,CARTAO,101,0
202302,496996648,Dante Oliveira,19,1,IA,0,Empregado,4109.6125365502485,1029.1243263248589,0,0,3,18102.84542966335,"VEICULO, IMOBILIARIO, CARTAO",45,0
202304,724410590,Heloísa Cassiano,36,18,IA,1,Empregado,3376.837127845099,934.491879325336,0,0,1,17872.31617465679,"VEICULO, CARTAO, IMOBILIARIO",30,0
202303,969180872,Maitê Melo,23,5,IA,0,Empregado,3867.110703696777,1421.137042360845,0,0,2,48485.43268478708,CARTAO,33,0
202305,951089150,João Pedro Pimenta,53,35,IA,0,Desempregado,0.0,300.43507002831416,0,1,4,34300.580841635805,"VEICULO, IMOBILIARIO",33,0
202305,520948803,Lorena Nunes,34,16,IA,0,Empregado,6219.196944975571,753.4040967319257,1,1,5,1710.3796085527251,"CARTAO, IMOBILIARIO",88,1
202302,280622991,Maria Laura Siqueira,28,10,IP,0,Empregado,25844.36949753682,5124.642276774405,0,0,4,10713.940264883951,VEICULO,94,0
202302,594323648,Dra. Aylla Borges,22,4,IU,0,Empregado,,,0,1,1,9834.207975050133,"CARTAO, VEICULO, IMOBILIARIO",37,1
202305,583616693,Valentim Nogueira,39,21,IA,0,Desempregado,0.0,25.308590772367246,0,0,5,17541.20501942842,"CARTAO, IMOBILIARIO",4,1
202304,416418203,Luan Vargas,58,39,IP,0,Empregado,25521.434658825463,9671.943890432867,1,0,1,3855.2940979016366,"VEICULO, CARTAO",73,1
202301,435106513,Bárbara Moreira,46,28,IA,1,Empregado,3329.945765870876,1268.723145721516,0,0,3,40663.416235065335,IMOBILIARIO,96,0
202302,546126710,Isadora Pimenta,18,0,IU,0,Empregado,18919.767815680963,3807.258704392741,0,0,3,11171.435543405174,CARTAO,96,0
202305,361961820,Isis Teixeira,45,27,IU,0,Empregado,15895.26493582061,3422.6555120282924,0,0,3,26727.111341186297,"IMOBILIARIO, CARTAO, VEICULO",48,0
202301,583519203,Srta. Zoe Andrade,23,5,IP,0,Desempregado,0.0,504.8655289177623,0,0,3,12308.065321245896,IMOBILIARIO,73,0
202303,152408092,Catarina Gonçalves,21,3,IA,0,Desempregado,0.0,959.5932605873276,0,1,3,14149.226282931406,"CARTAO, IMOBILIARIO",34,1
202303,852650883,Isis Viana,38,21,IA,0,Empregado,2855.658961816744,859.0448172655931,0,0,3,29046.4099468383,"IMOBILIARIO, VEICULO, CARTAO",59,0
202304,447549695,Vinicius Montenegro,47,29,IP,1,Empregado,,,0,1,2,8845.670095863372,VEICULO,24,0
202303,969387289,Rebeca Gomes,58,40,IU,0,Desempregado,0.0,134.86923407268202,0,0,1,41853.63743541673,"CARTAO, IMOBILIARIO",74,0
202304,617620235,Ana Carolina Pinto,53,35,IP,0,Desempregado,0.0,266.29685126483326,0,0,1,23471.347166872874,CARTAO,90,0
202306,677656634,Maria Liz Costa,53,35,IP,0,Empregado,23386.44195251513,7600.305502740049,1,0,1,35869.33867916768,"VEICULO, IMOBILIARIO, CARTAO",89,1
202306,179334175,Leonardo Casa Grande,60,42,IA,1,Desempregado,0.0,860.4870551431478,1,0,2,42376.80943129309,"VEICULO, CARTAO, IMOBILIARIO",45,0
202305,618138681,Ana Laura Aparecida,29,11,IA,0,Empregado,7018.3363367883,1315.958984013954,1,1,4,11918.429896451242,"VEICULO, IMOBILIARIO, CARTAO",19,0
202304,743030796,Matheus Gonçalves,23,5,IU,0,Desempregado,0.0,352.77711821938453,0,1,2,24864.82856601002,"CARTAO, VEICULO",86,0
202302,973950103,Maria Luísa Oliveira,24,6,IA,0,Empregado,6413.964551417278,1216.876506735647,0,0,3,44466.19293490742,"VEICULO, IMOBILIARIO, CARTAO",54,0
202301,243655310,Sra. Sabrina Dias,26,8,IA,0,Empregado,2616.656386229515,334.16202597878134,0,0,3,9081.294387076778,"IMOBILIARIO, VEICULO, CARTAO",88,0
202301,276286051,Vinícius Ramos,61,43,IU,0,Desempregado,0.0,455.3008284438965,0,1,1,26016.99369108657,"VEICULO, CARTAO",45,0
202305,189081236,Daniela Pastor,65,46,IU,0,Empregado,18186.794402292708,7209.454777988283,0,0,3,39914.36093348263,"IMOBILIARIO, CARTAO, VEICULO",53,0
202301,892199740,Sra. Isabela Ribeiro,67,49,IP,0,Empregado,25482.555571370605,7139.881671432964,1,1,2,32450.68096539485,"VEICULO, CARTAO, IMOBILIARIO",16,1
202305,892131260,Fernanda Costela,54,37,IA,0,Desempregado,0.0,12.52815856457412,1,0,3,12888.055781582923,"IMOBILIARIO, VEICULO",13,0
202302,765077062,Joaquim Moura,39,21,IA,0,Empregado,4973.738172966588,1956.0672799990537,1,0,1,42494.451684693646,"CARTAO, VEICULO",42,0
202306,691370449,Aylla Melo,59,40,IA,0,Empregado,3593.2417319685533,764.5947136500012,0,0,2,17852.76256569288,"IMOBILIARIO, CARTAO",71,1
202306,910854612,Dr. Mathias Fonseca,27,9,IA,0,Empregado,9503.185345102092,3185.490701512469,0,1,1,32862.80007296408,VEICULO,116,0
202305,716540738,Benicio da Rosa,27,9,IP,0,Empregado,27434.746612040435,9516.65817292382,0,0,2,32775.69094626738,"VEICULO, IMOBILIARIO, CARTAO",5,1
202304,148031760,Dr. Luigi Fogaça,29,11,IP,0,Desempregado,,731.2999622173493,1,1,1,20821.541975899698,"CARTAO, VEICULO",91,0
202302,426030678,Lucas da Mota,61,43,IA,0,Empregado,5735.425909202226,1960.622612143036,0,0,5,32723.575606816867,IMOBILIARIO,67,0
202306,387037751,Dr. Bento Rios,29,11,IA,0,Empregado,4806.384205909517,1495.1824879375777,0,0,1,16144.820290275724,"CARTAO, IMOBILIARIO",47,0
202305,444103667,Ísis Borges,26,8,IA,0,Autônomo,,24623.190651030007,0,0,2,12680.056545918442,"IMOBILIARIO, CARTAO, VEICULO",108,1
202302,670133218,Yuri Mendonça,33,15,IP,0,Empregado,24285.51547527209,2682.656809887093,0,1,3,30788.772473603083,"CARTAO, VEICULO, IMOBILIARIO",3,1
202304,149198538,Lorena Sá,25,7,IA,0,Autônomo,7512.371356791007,19424.082830002328,1,1,2,12789.061455891617,"IMOBILIARIO, CARTAO",62,1
202304,101404406,Dr. Paulo Pires,23,5,IA,0,Empregado,,,0,0,1,38602.33449166177,VEICULO,63,0
202304,378702972,Yago da Rocha,26,8,IU,0,Desempregado,0.0,280.87154180750883,0,0,1,46462.55040024533,IMOBILIARIO,39,0
202302,164731980,Lara Jesus,42,24,IA,0,Empregado,9640.261351512489,2341.697151718474,1,1,2,47951.41647279397,"CARTAO, VEICULO",62,0
202304,891002576,Vicente Pereira,27,9,IU,0,Empregado,12081.240342453471,4049.682647650676,0,0,1,8079.301969741346,VEICULO,71,0
202301,663377174,José Miguel da Costa,49,31,IU,0,Empregado,13860.433025426088,4271.5084029803975,0,0,4,35361.759925919214,VEICULO,6,0
202303,438421460,Dr. Lucca Camargo,37,18,IA,0,Empregado,4293.383473706926,1339.8307349480858,1,0,1,20762.27235159065,IMOBILIARIO,78,1
202301,606553372,Caroline Barbosa,28,10,IU,0,Desempregado,0.0,294.92349003499186,0,1,4,39754.90940225806,"CARTAO, IMOBILIARIO, VEICULO",29,0
202302,570913175,Fernando Silveira,25,7,IP,0,Empregado,23196.854109853903,7101.885289344252,0,0,1,23861.08772997303,IMOBILIARIO,8,1
